question,correct_answers,floating_point_value
10^10. = ?,1e10;1e10,10000000000.0
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^10.0 = ?,1.0e10;1.0e10,10000000000.0
10^2.22 = ?,170;1.7e2,165.95869074375614
10^2.02 = ?,1.0e2;1.0e2,104.71285480508996
10^1.15 = ?,14;1.4e1,14.12537544622754
10^1.68 = ?,48;4.8e1,47.86300923226383
10^2.56 = ?,360;3.6e2,363.0780547701014
10^2.68 = ?,480;4.8e2,478.6300923226385
10^1.5 = ?,30;3e1,31.622776601683793
10^1.5 = ?,30;3e1,31.622776601683793
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^5.7 = ?,5e5;5e5,501187.2336272725
10^1.76 = ?,58;5.8e1,57.543993733715695
10^6.0 = ?,1e6;1e6,1000000.0
10^2.68 = ?,480;4.8e2,478.6300923226385
10^10.0 = ?,1.0e10;1.0e10,10000000000.0
10^10. = ?,1e10;1e10,10000000000.0
10^2.95 = ?,890;8.9e2,891.2509381337459
10^1.1 = ?,10;1e1,12.589254117941675
10^1.21 = ?,16;1.6e1,16.218100973589298
10^4.9 = ?,8e4;8e4,79432.82347242821
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^10.0 = ?,1.0e10;1.0e10,10000000000.0
10^1.5 = ?,30;3e1,31.622776601683793
10^1.8 = ?,60;6e1,63.09573444801933
10^2.22 = ?,170;1.7e2,165.95869074375614
10^1.93 = ?,85;8.5e1,85.11380382023764
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^9.10 = ?,1.3e9;1.3e9,1258925411.794166
10^4.71 = ?,5.1e4;5.1e4,51286.13839913648
10^7.20 = ?,1.6e7;1.6e7,15848931.924611142
10^3.9 = ?,8000;8e3,7943.282347242814
10^1.39 = ?,25;2.5e1,24.547089156850298
10^1.8 = ?,60;6e1,63.09573444801933
10^5.69 = ?,4.9e5;4.9e5,489778.81936844665
10^8.7 = ?,5e8;5e8,501187233.6272715
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^5.69 = ?,4.9e5;4.9e5,489778.81936844665
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^1.60 = ?,40.;4.0e1,39.810717055349734
10^2.1 = ?,100;1e2,125.89254117941675
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^1.68 = ?,48;4.8e1,47.86300923226383
10^2.3 = ?,200;2e2,199.52623149688787
10^2.2 = ?,200;2e2,158.48931924611142
10^2.95 = ?,890;8.9e2,891.2509381337459
10^7.91 = ?,8.1e7;8.1e7,81283051.61640996
10^2.8 = ?,600;6e2,630.957344480193
10^3.73 = ?,5400;5.4e3,5370.317963702527
10^2.8 = ?,600;6e2,630.957344480193
10^7.9 = ?,8e7;8e7,79432823.47242822
10^2.2 = ?,200;2e2,158.48931924611142
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^2.3 = ?,200;2e2,199.52623149688787
10^1.84 = ?,69;6.9e1,69.18309709189366
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^10.0 = ?,1.0e10;1.0e10,10000000000.0
10^2.7 = ?,500;5e2,501.18723362727246
10^2.33 = ?,210;2.1e2,213.79620895022325
10^1.5 = ?,30;3e1,31.622776601683793
10^2.02 = ?,1.0e2;1.0e2,104.71285480508996
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^2.3 = ?,200;2e2,199.52623149688787
10^1.8 = ?,60;6e1,63.09573444801933
10^7.5 = ?,3e7;3e7,31622776.60168379
10^2.3 = ?,200;2e2,199.52623149688787
10^1.8 = ?,60;6e1,63.09573444801933
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^6.55 = ?,3.5e6;3.5e6,3548133.892335753
10^3.6 = ?,4000;4e3,3981.0717055349733
10^1.68 = ?,48;4.8e1,47.86300923226383
10^1.4 = ?,30;3e1,25.118864315095795
10^1.53 = ?,34;3.4e1,33.884415613920254
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^10.0 = ?,1.0e10;1.0e10,10000000000.0
10^3.91 = ?,8100;8.1e3,8128.305161640995
10^3.1 = ?,1000;1e3,1258.9254117941675
10^1.8 = ?,60;6e1,63.09573444801933
10^2.8 = ?,600;6e2,630.957344480193
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^1.93 = ?,85;8.5e1,85.11380382023764
10^5.4 = ?,3e5;3e5,251188.6431509582
10^6.9 = ?,8e6;8e6,7943282.347242822
10^3.1 = ?,1000;1e3,1258.9254117941675
10^4.71 = ?,5.1e4;5.1e4,51286.13839913648
10^1.2 = ?,20;2e1,15.848931924611133
10^1.6 = ?,40;4e1,39.810717055349734
10^2.9 = ?,800;8e2,794.3282347242813
10^1.05 = ?,11;1.1e1,11.220184543019636
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^1.2 = ?,20;2e1,15.848931924611133
10^4.7 = ?,5e4;5e4,50118.72336272725
10^2.6 = ?,400;4e2,398.1071705534973
10^5.4 = ?,3e5;3e5,251188.6431509582
10^1.00 = ?,10.;1.0e1,10.0
10^4.5 = ?,3e4;3e4,31622.776601683792
10^4.94 = ?,8.7e4;8.7e4,87096.35899560814
10^7.91 = ?,8.1e7;8.1e7,81283051.61640996
10^1.68 = ?,48;4.8e1,47.86300923226383
10^8.29 = ?,1.9e8;1.9e8,194984459.97580415
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^2.12 = ?,130;1.3e2,131.82567385564073
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^3.1 = ?,1000;1e3,1258.9254117941675
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^9.1 = ?,1e9;1e9,1258925411.794166
10^4.1 = ?,1e4;1e4,12589.254117941662
10^1.26 = ?,18;1.8e1,18.197008586099834
10^2.7 = ?,500;5e2,501.18723362727246
10^10. = ?,1e10;1e10,10000000000.0
10^1.84 = ?,69;6.9e1,69.18309709189366
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^5.43 = ?,2.7e5;2.7e5,269153.4803926914
10^1.5 = ?,30;3e1,31.622776601683793
10^1.4 = ?,30;3e1,25.118864315095795
10^3.9 = ?,8000;8e3,7943.282347242814
10^7.2 = ?,2e7;2e7,15848931.924611142
10^2.33 = ?,210;2.1e2,213.79620895022325
10^1.05 = ?,11;1.1e1,11.220184543019636
10^4.3 = ?,2e4;2e4,19952.62314968879
10^1.2 = ?,20;2e1,15.848931924611133
10^9.5 = ?,3e9;3e9,3162277660.1683793
10^1.6 = ?,40;4e1,39.810717055349734
10^1.10 = ?,13;1.3e1,12.589254117941675
10^2.33 = ?,210;2.1e2,213.79620895022325
10^3.7 = ?,5000;5e3,5011.872336272725
10^2.7 = ?,500;5e2,501.18723362727246
10^9.5 = ?,3e9;3e9,3162277660.1683793
10^4.7 = ?,5e4;5e4,50118.72336272725
10^4.5 = ?,3e4;3e4,31622.776601683792
10^8.3 = ?,2e8;2e8,199526231.49688828
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^1.05 = ?,11;1.1e1,11.220184543019636
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^2.2 = ?,200;2e2,158.48931924611142
10^8.7 = ?,5e8;5e8,501187233.6272715
10^1.39 = ?,25;2.5e1,24.547089156850298
10^2.68 = ?,480;4.8e2,478.6300923226385
10^4.9 = ?,8e4;8e4,79432.82347242821
10^1.7 = ?,50;5e1,50.11872336272722
10^3.6 = ?,4000;4e3,3981.0717055349733
10^2.4 = ?,300;3e2,251.18864315095797
10^1.7 = ?,50;5e1,50.11872336272722
10^2.22 = ?,170;1.7e2,165.95869074375614
10^1.8 = ?,60;6e1,63.09573444801933
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^1.05 = ?,11;1.1e1,11.220184543019636
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^4.5 = ?,3e4;3e4,31622.776601683792
10^1.39 = ?,25;2.5e1,24.547089156850298
10^10. = ?,1e10;1e10,10000000000.0
10^2.81 = ?,650;6.5e2,645.6542290346556
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^8.7 = ?,5e8;5e8,501187233.6272715
10^4.5 = ?,3e4;3e4,31622.776601683792
10^1.8 = ?,60;6e1,63.09573444801933
10^1.5 = ?,30;3e1,31.622776601683793
10^2.81 = ?,650;6.5e2,645.6542290346556
10^1.7 = ?,50;5e1,50.11872336272722
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^1.05 = ?,11;1.1e1,11.220184543019636
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^1.2 = ?,20;2e1,15.848931924611133
10^4.9 = ?,8e4;8e4,79432.82347242821
10^1.53 = ?,34;3.4e1,33.884415613920254
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^2.2 = ?,200;2e2,158.48931924611142
10^1.1 = ?,10;1e1,12.589254117941675
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^1.2 = ?,20;2e1,15.848931924611133
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^1.4 = ?,30;3e1,25.118864315095795
10^8.3 = ?,2e8;2e8,199526231.49688828
10^3.7 = ?,5000;5e3,5011.872336272725
10^4.94 = ?,8.7e4;8.7e4,87096.35899560814
10^1.26 = ?,18;1.8e1,18.197008586099834
10^3.7 = ?,5000;5e3,5011.872336272725
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^1.2 = ?,20;2e1,15.848931924611133
10^1.68 = ?,48;4.8e1,47.86300923226383
10^6.6 = ?,4e6;4e6,3981071.7055349695
10^2.8 = ?,600;6e2,630.957344480193
10^4.71 = ?,5.1e4;5.1e4,51286.13839913648
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^1.33 = ?,21;2.1e1,21.379620895022324
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^3.6 = ?,4000;4e3,3981.0717055349733
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^4.7 = ?,5e4;5e4,50118.72336272725
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^8.7 = ?,5e8;5e8,501187233.6272715
10^1.26 = ?,18;1.8e1,18.197008586099834
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^3.73 = ?,5400;5.4e3,5370.317963702527
10^1.26 = ?,18;1.8e1,18.197008586099834
10^2.44 = ?,280;2.8e2,275.4228703338166
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^3.6 = ?,4000;4e3,3981.0717055349733
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^5.2 = ?,2e5;2e5,158489.3192461114
10^1.8 = ?,60;6e1,63.09573444801933
10^2.2 = ?,200;2e2,158.48931924611142
10^3.9 = ?,8000;8e3,7943.282347242814
10^2.68 = ?,480;4.8e2,478.6300923226385
10^3.56 = ?,3600;3.6e3,3630.780547701014
10^1.2 = ?,20;2e1,15.848931924611133
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^6.0 = ?,1e6;1e6,1000000.0
10^2.4 = ?,300;3e2,251.18864315095797
10^2.7 = ?,500;5e2,501.18723362727246
10^10. = ?,1e10;1e10,10000000000.0
10^4.3 = ?,2e4;2e4,19952.62314968879
10^5.7 = ?,5e5;5e5,501187.2336272725
10^3.1 = ?,1000;1e3,1258.9254117941675
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^8.7 = ?,5e8;5e8,501187233.6272715
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^5.7 = ?,5e5;5e5,501187.2336272725
10^2.7 = ?,500;5e2,501.18723362727246
10^8.29 = ?,1.9e8;1.9e8,194984459.97580415
10^7.91 = ?,8.1e7;8.1e7,81283051.61640996
10^4.5 = ?,3e4;3e4,31622.776601683792
10^4.1 = ?,1e4;1e4,12589.254117941662
10^7.20 = ?,1.6e7;1.6e7,15848931.924611142
10^1.8 = ?,60;6e1,63.09573444801933
10^2.8 = ?,600;6e2,630.957344480193
10^5.2 = ?,2e5;2e5,158489.3192461114
10^3.7 = ?,5000;5e3,5011.872336272725
10^4.3 = ?,2e4;2e4,19952.62314968879
10^1.05 = ?,11;1.1e1,11.220184543019636
10^2.2 = ?,200;2e2,158.48931924611142
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^1.6 = ?,40;4e1,39.810717055349734
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^1.0 = ?,10;1e1,10.0
10^1.0 = ?,10;1e1,10.0
10^6.6 = ?,4e6;4e6,3981071.7055349695
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^3.91 = ?,8100;8.1e3,8128.305161640995
10^3.9 = ?,8000;8e3,7943.282347242814
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^3.7 = ?,5000;5e3,5011.872336272725
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^2.2 = ?,200;2e2,158.48931924611142
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^2.1 = ?,100;1e2,125.89254117941675
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^1.05 = ?,11;1.1e1,11.220184543019636
10^7.5 = ?,3e7;3e7,31622776.60168379
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^5.7 = ?,5e5;5e5,501187.2336272725
10^8.3 = ?,2e8;2e8,199526231.49688828
10^5.7 = ?,5e5;5e5,501187.2336272725
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^1.00 = ?,10.;1.0e1,10.0
10^2.0 = ?,100;1e2,100.0
10^2.0 = ?,100;1e2,100.0
10^2.68 = ?,480;4.8e2,478.6300923226385
10^1.7 = ?,50;5e1,50.11872336272722
10^1.00 = ?,10.;1.0e1,10.0
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^1.0 = ?,10;1e1,10.0
10^4.71 = ?,5.1e4;5.1e4,51286.13839913648
10^3.73 = ?,5400;5.4e3,5370.317963702527
10^7.91 = ?,8.1e7;8.1e7,81283051.61640996
10^8.29 = ?,1.9e8;1.9e8,194984459.97580415
10^1.26 = ?,18;1.8e1,18.197008586099834
10^1.60 = ?,40.;4.0e1,39.810717055349734
10^1.68 = ?,48;4.8e1,47.86300923226383
10^1.84 = ?,69;6.9e1,69.18309709189366
10^3.91 = ?,8100;8.1e3,8128.305161640995
10^9.54 = ?,3.5e9;3.5e9,3467368504.5253096
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^8.29 = ?,1.9e8;1.9e8,194984459.97580415
10^2.2 = ?,200;2e2,158.48931924611142
10^1.93 = ?,85;8.5e1,85.11380382023764
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^2.6 = ?,400;4e2,398.1071705534973
10^1.5 = ?,30;3e1,31.622776601683793
10^1.1 = ?,10;1e1,12.589254117941675
10^2.3 = ?,200;2e2,199.52623149688787
10^5.2 = ?,2e5;2e5,158489.3192461114
10^1.00 = ?,10.;1.0e1,10.0
10^3.39 = ?,2500;2.5e3,2454.708915685031
10^4.9 = ?,8e4;8e4,79432.82347242821
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^9.10 = ?,1.3e9;1.3e9,1258925411.794166
10^1.33 = ?,21;2.1e1,21.379620895022324
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^1.3 = ?,20;2e1,19.952623149688797
10^2.0 = ?,100;1e2,100.0
10^3.9 = ?,8000;8e3,7943.282347242814
10^4.5 = ?,3e4;3e4,31622.776601683792
10^8.7 = ?,5e8;5e8,501187233.6272715
10^1.3 = ?,20;2e1,19.952623149688797
10^1.0 = ?,10;1e1,10.0
10^4.7 = ?,5e4;5e4,50118.72336272725
10^5.43 = ?,2.7e5;2.7e5,269153.4803926914
10^6.9 = ?,8e6;8e6,7943282.347242822
10^6.25 = ?,1.8e6;1.8e6,1778279.410038923
10^1.33 = ?,21;2.1e1,21.379620895022324
10^1.05 = ?,11;1.1e1,11.220184543019636
10^1.0 = ?,10;1e1,10.0
10^2.3 = ?,200;2e2,199.52623149688787
10^1.0 = ?,10;1e1,10.0
10^1.53 = ?,34;3.4e1,33.884415613920254
10^3.2 = ?,2000;2e3,1584.893192461114
10^1.39 = ?,25;2.5e1,24.547089156850298
10^1.4 = ?,30;3e1,25.118864315095795
10^4.7 = ?,5e4;5e4,50118.72336272725
10^1.3 = ?,20;2e1,19.952623149688797
10^1.39 = ?,25;2.5e1,24.547089156850298
10^5.43 = ?,2.7e5;2.7e5,269153.4803926914
10^1.5 = ?,30;3e1,31.622776601683793
10^1.10 = ?,13;1.3e1,12.589254117941675
10^6.9 = ?,8e6;8e6,7943282.347242822
10^1.46 = ?,29;2.9e1,28.84031503126606
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^7.2 = ?,2e7;2e7,15848931.924611142
10^3.7 = ?,5000;5e3,5011.872336272725
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^1.26 = ?,18;1.8e1,18.197008586099834
10^7.9 = ?,8e7;8e7,79432823.47242822
10^2.12 = ?,130;1.3e2,131.82567385564073
10^5.69 = ?,4.9e5;4.9e5,489778.81936844665
10^5.69 = ?,4.9e5;4.9e5,489778.81936844665
10^5.2 = ?,2e5;2e5,158489.3192461114
10^6.55 = ?,3.5e6;3.5e6,3548133.892335753
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^1.8 = ?,60;6e1,63.09573444801933
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^2.1 = ?,100;1e2,125.89254117941675
10^1.9 = ?,80;8e1,79.43282347242814
10^5.18 = ?,1.5e5;1.5e5,151356.12484362072
10^1.33 = ?,21;2.1e1,21.379620895022324
10^1.8 = ?,60;6e1,63.09573444801933
10^1.10 = ?,13;1.3e1,12.589254117941675
10^6.55 = ?,3.5e6;3.5e6,3548133.892335753
10^5.2 = ?,2e5;2e5,158489.3192461114
10^8.7 = ?,5e8;5e8,501187233.6272715
10^2.0 = ?,100;1e2,100.0
10^5.7 = ?,5e5;5e5,501187.2336272725
10^1.1 = ?,10;1e1,12.589254117941675
10^2.12 = ?,130;1.3e2,131.82567385564073
10^1.10 = ?,13;1.3e1,12.589254117941675
10^2.12 = ?,130;1.3e2,131.82567385564073
10^2.68 = ?,480;4.8e2,478.6300923226385
10^3.1 = ?,1000;1e3,1258.9254117941675
10^1.7 = ?,50;5e1,50.11872336272722
10^2.95 = ?,890;8.9e2,891.2509381337459
10^1.33 = ?,21;2.1e1,21.379620895022324
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^2.2 = ?,200;2e2,158.48931924611142
10^1.68 = ?,48;4.8e1,47.86300923226383
10^2.7 = ?,500;5e2,501.18723362727246
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^4.3 = ?,2e4;2e4,19952.62314968879
10^1.00 = ?,10.;1.0e1,10.0
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^4.71 = ?,5.1e4;5.1e4,51286.13839913648
10^2.6 = ?,400;4e2,398.1071705534973
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^2.02 = ?,1.0e2;1.0e2,104.71285480508996
10^2.7 = ?,500;5e2,501.18723362727246
10^3.4 = ?,3000;3e3,2511.88643150958
10^3.2 = ?,2000;2e3,1584.893192461114
10^4.94 = ?,8.7e4;8.7e4,87096.35899560814
10^5.7 = ?,5e5;5e5,501187.2336272725
10^6.9 = ?,8e6;8e6,7943282.347242822
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^2.56 = ?,360;3.6e2,363.0780547701014
10^1.76 = ?,58;5.8e1,57.543993733715695
10^3.7 = ?,5000;5e3,5011.872336272725
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^2.0 = ?,100;1e2,100.0
10^2.22 = ?,170;1.7e2,165.95869074375614
10^2.9 = ?,800;8e2,794.3282347242813
10^3.6 = ?,4000;4e3,3981.0717055349733
10^1.3 = ?,20;2e1,19.952623149688797
10^8.3 = ?,2e8;2e8,199526231.49688828
10^2.12 = ?,130;1.3e2,131.82567385564073
10^3.6 = ?,4000;4e3,3981.0717055349733
10^1.26 = ?,18;1.8e1,18.197008586099834
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^1.39 = ?,25;2.5e1,24.547089156850298
10^5.7 = ?,5e5;5e5,501187.2336272725
10^1.9 = ?,80;8e1,79.43282347242814
10^7.54 = ?,3.5e7;3.5e7,34673685.045253165
10^9.1 = ?,1e9;1e9,1258925411.794166
10^1.0 = ?,10;1e1,10.0
10^1.93 = ?,85;8.5e1,85.11380382023764
10^3.1 = ?,1000;1e3,1258.9254117941675
10^3.91 = ?,8100;8.1e3,8128.305161640995
10^6.3 = ?,2e6;2e6,1995262.3149688789
10^2.3 = ?,200;2e2,199.52623149688787
10^9.1 = ?,1e9;1e9,1258925411.794166
10^5.4 = ?,3e5;3e5,251188.6431509582
10^2.12 = ?,130;1.3e2,131.82567385564073
10^3.1 = ?,1000;1e3,1258.9254117941675
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^1.2 = ?,20;2e1,15.848931924611133
10^1.15 = ?,14;1.4e1,14.12537544622754
10^1.10 = ?,13;1.3e1,12.589254117941675
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^2.6 = ?,400;4e2,398.1071705534973
10^4.29 = ?,1.9e4;1.9e4,19498.445997580457
10^4.09 = ?,1.2e4;1.2e4,12302.68770812381
10^5.43 = ?,2.7e5;2.7e5,269153.4803926914
10^2.12 = ?,130;1.3e2,131.82567385564073
10^2.81 = ?,650;6.5e2,645.6542290346556
10^3.73 = ?,5400;5.4e3,5370.317963702527
10^1.76 = ?,58;5.8e1,57.543993733715695
10^8.69 = ?,4.9e8;4.9e8,489778819.36844563
10^1.8 = ?,60;6e1,63.09573444801933
10^1.68 = ?,48;4.8e1,47.86300923226383
10^3.56 = ?,3600;3.6e3,3630.780547701014
10^2.8 = ?,600;6e2,630.957344480193
10^1.2 = ?,20;2e1,15.848931924611133
10^3.4 = ?,3000;3e3,2511.88643150958
10^2.81 = ?,650;6.5e2,645.6542290346556
10^7.20 = ?,1.6e7;1.6e7,15848931.924611142
10^2.95 = ?,890;8.9e2,891.2509381337459
10^1.21 = ?,16;1.6e1,16.218100973589298
10^3.4 = ?,3000;3e3,2511.88643150958
10^2.95 = ?,890;8.9e2,891.2509381337459
10^1.33 = ?,21;2.1e1,21.379620895022324
10^2.3 = ?,200;2e2,199.52623149688787
10^7.2 = ?,2e7;2e7,15848931.924611142
10^2.8 = ?,600;6e2,630.957344480193
10^1.68 = ?,48;4.8e1,47.86300923226383
10^2.9 = ?,800;8e2,794.3282347242813
10^9.5 = ?,3e9;3e9,3162277660.1683793
10^3.24 = ?,1700;1.7e3,1737.8008287493763
10^1.10 = ?,13;1.3e1,12.589254117941675
10^6.87 = ?,7.4e6;7.4e6,7413102.413009177
10^3.09 = ?,1200;1.2e3,1230.268770812381
10^3.56 = ?,3600;3.6e3,3630.780547701014
10^3.91 = ?,8100;8.1e3,8128.305161640995
10^4.50 = ?,3.2e4;3.2e4,31622.776601683792
10^1.2 = ?,20;2e1,15.848931924611133
10^2.81 = ?,650;6.5e2,645.6542290346556
10^1.68 = ?,48;4.8e1,47.86300923226383
10^2.81 = ?,650;6.5e2,645.6542290346556
10^5.96 = ?,9.1e5;9.1e5,912010.8393559096
10^1.39 = ?,25;2.5e1,24.547089156850298
10^1.3 = ?,20;2e1,19.952623149688797
10^2.44 = ?,280;2.8e2,275.4228703338166
10^1.33 = ?,21;2.1e1,21.379620895022324
10^1.68 = ?,48;4.8e1,47.86300923226383
10^8.29 = ?,1.9e8;1.9e8,194984459.97580415
10^2.2 = ?,200;2e2,158.48931924611142
10^1.26 = ?,18;1.8e1,18.197008586099834
10^1.6 = ?,40;4e1,39.810717055349734
10^1.46 = ?,29;2.9e1,28.84031503126606
